Name,Latitude,Longitude,State
Skennars Head (Lennox Head),-28.827,153.605333,New South Wales
Coffs Harbour,-30.3227661,153.1319916,New South Wales
Crescent Head,-31.182264,152.969025,New South Wales
Camden Head,-31.662974,152.8221987,New South Wales
Forster,-32.2331944,152.5577024,New South Wales
Belmont,-33.05695,151.677767,New South Wales
Boulder Bay,-32.763967,152.16125,New South Wales
Burwood Beach (Newcastle),-32.970283,151.747217,New South Wales
Norah Head (Toukley),-33.283167,151.577733,New South Wales
Wonga Point (Bateau Bay),-33.384367,151.486467,New South Wales
Warriewood,-33.69805,151.311883,New South Wales
North Head,-33.8245,151.3505,New South Wales
Bondi,-33.8945,151.306667,New South Wales
Malabar,-33.987,151.306667,New South Wales
Potter Point (Cronulla),-34.043083,151.212333,New South Wales
Bellambi,-34.372067,150.928433,New South Wales
Coniston Beach (Woolongong),-34.445333,150.898967,New South Wales
Port Kembla,-34.495333,150.920583,New South Wales
Shellharbour,-34.563683,150.87365,New South Wales
Bombo,-34.653117,150.8614,New South Wales
Penguin Head,-34.9316,150.783483,New South Wales
Ulladulla,-35.3777,150.469167,New South Wales
Batemans Bay,-35.762848,150.2192163,New South Wales
Long Nose (Tomakin),-35.835183,150.208117,New South Wales
Narooma,-36.19315,150.1342,New South Wales
Bermagui,-36.443817,150.074317,New South Wales
Merimbula,-36.9213037,149.9022353,New South Wales
Eden,-37.067034,149.912484,New South Wales
Warrnambool WRP,-38.39569873,142.4570704,Victoria
Port Fairy Domestic WRP,-38.39760566,142.2445026,Victoria
Port Fairy Industrial WRP,-38.39760566,142.2445026,Victoria
Portland,-38.3830738,141.5970482,Victoria
Altona,-37.872,144.79,Victoria
Phillip Island Ocean outfall,-38.529857,145.221741,Victoria
Delray Beach outfall,-38.2415847,147.3623442,Victoria
McGaurans Beach outfall,-38.4485831,147.1026041,Victoria
Anglesea WRP Ocean Outfall,-38.4078075,144.1966979,Victoria
Apollo Bay WRP Ocean Outfall,-38.782708,143.660731,Victoria
Black Rock WRP Ocean Outfall,-38.294943,144.423203,Victoria
Lorne WRP Ocean Outfall,-38.5177123,143.990331,Victoria
Baxter's Beach,-38.6043608,145.5273781,Victoria
Toora,-38.675741,146.339733,Victoria
Foster,-38.696084,146.23672,Victoria
Port Welshpool,-38.703567,146.462555,Victoria
Boags Rock Outfall,-38.445214,144.853598,Victoria
Werribee (Port Phillip Bay),-38.011269,144.581825,Victoria
Bolivar WWTP,-34.725964,138.467227,South Australia
Bolivar High Salinity,-34.725964,138.467493,South Australia
Christies Beach-Northern,-35.125844,138.462318,South Australia
Christies Beach-Southern,-35.126448,138.465482,South Australia
Finger Point,-38.050679,140.649617,South Australia
Glenelg,-34.963133,138.50393,South Australia
